#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,David Ospina,POR,25,44,Niza,2014
2,Cristian Zapata,DEF,27,24,Milan,2014
3,Mario Alberto Yepes,DEF,38,98,Atalanta,2014
4,Santiago Arias,DEF,22,6,PSV Eindhoven,2014
5,Carlos Carbonero,MED,23,1,River Plate,2014
6,Carlos Sanchez,MED,28,44,Elche,2014
7,Pablo Armero,DEF,27,53,West Ham United,2014
8,Abel Aguilar,MED,29,49,Toulouse,2014
9,Teofilo Gutierrez,DEL,29,30,River Plate,2014
10,James Rodriguez,MED,22,22,Monaco,2014
11,Juan Guillermo Cuadrado,MED,26,26,Fiorentina,2014
12,Camilo Vargas,POR,25,0,Santa Fe,2014
13,Freddy Guarin,MED,27,49,Inter de Milan,2014
14,Victor Ibarbo,MED,24,9,Cagliari,2014
15,Alexander Mejia,MED,25,8,Atletico Nacional,2014
16,Eder alvarez Balanta,DEF,21,3,River Plate,2014
17,Carlos Bacca,DEL,27,11,Sevilla,2014
18,Camilo Zuñiga,DEF,28,50,Napoli,2014
19,Adrian Ramos,DEL,28,26,Hertha Berlin,2014
20,Juan Fernando Quintero,MED,21,1,PORto,2014
21,Jackson Martinez,DEL,27,27,PORto,2014
22,Faryd Mondragon,POR,42,50,DePORtivo Cali,2014
23,Carlos Valdes,DEF,29,14,San Lorenzo,2014
24,Jose Pekerman,DT,,,,
