#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Hugo Lloris,POR,27,,Tottenham Hotspur,2014
2,Mathieu Debuchy,DEF,29,,Arsenal,2014
3,Patrice Evra,DEF,33,,Manchester United,2014
4,Raphael Varane,DEF,22,,Real Madrid,2014
5,Mamadou Sakho,DEF,24,,Liverpool,2014
6,Yohan Cabaye,CEN,28,,Paris Saint-Germain,2014
7,Remy Cabella2,DEL,24,,Montpellier,2014
8,Francis Coquelin,CEN,29,,Arsenal,2014
9,Olivier Giroud,DEL,27,,Arsenal,2014
10,Karim Benzema,DEL,26,,Real Madrid,2014
11,Antoine Griezmann,DEL,23,,Atletico de Madrid,2014
12,Yoann Gourcuff,CEN,30,,Olympique de Lyon,2014
13,Adil Rami,DEF,23,,Olympique de Marsella,2014
14,Blaise Matuidi,CEN,27,,Paris Saint-Germain,2014
15,Bacary Sagna,DEF,31,,Arsenal,2014
16,Stephane Ruffier 1,POR,27,,Saint-Etienne,2014
17,Lucas Digne,DEF,21,,AS Roma,2014
18,Moussa Sissoko,DEF,24,,Newcastle United,2014
19,Paul Pogba,CEN,21,,Juventus,2014
20,Loic Remy,DEL,27,,Newcastle United,2014
21,Laurent Koscielny,CEN,28,,Arsenal,2014
22,Morgan Schneiderlin 3,CEN,24,,Southampton,2014
23,Mickael Landreau,POR,35,,Bastia,2014
24,Didier Deschamps,DT,,,,
