#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Vincent Enyeama,POR,31,82,Lille,2014
2,Joseph Yobo,DEF,33,82,Fenerbahçe,2014
3,Ejike Uzoenyi 1,CEN,22,20,Enugu Rangers,2014
4,Reuben Gabriel,CEN,23,24,Waasland-Beveren,2014
5,Efe Ambrose,DEF,25,29,Celtic,2014
6,Azubuike Egwuekwe,DEF,,9,Warri Wolves,2014
7,AhMED Musa,DEL,21,32,CSKA Moscu,2014
8,Peter Odemwingie,DEL,,,Stoke City,2014
9,Emmanuel Emenike,DEL,27,19,Fenerbahçe,2014
10,John Obi Mikel,CEN,27,52,Chelsea,2014
11,Victor Moses,CEN,23,19,Chelsea,2014
12,Kunle Odunlami,DEF,24,2,Sunshine Stars,2014
13,Juwon Oshaniwa,DEF,,,Ashdod,2014
14,Godfrey Oboabona,DEF,,,Çaykur RizesPOR,2014
15,Ramon Azeez,CEN,,,Almeria,2014
16,Austin Ejide,POR,,,Hapoel Be'er Sheva,2014
17,Ogenyi Onazi,CEN,21,21,Lazio,2014
18,Michel Babatunde,DEL,,,Volyn Lutsk,2014
19,Uche Nwofor,DEL,,,VVV Venlo,2014
20,Michael Uchebo,CEN,,,Cercle Brugge,2014
21,Chigozie Agbim,POR,,,Gombe United,2014
22,Kenneth Omeruo,DEF,20,3,Chelsea,2014
23,Shola Ameobi,DEL,32,10,Newcastle,2014
24,Stephen Keshi,DT,,,,
