#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Robin Olsen,POR,28,18,FC Copenhague,2018
2,Mikael Lustig,DEF,31,66,Celtic,2018
3,Victor Lindelof,DEF,23,21,Manchester United,2018
4,Andreas Granqvist,DEF,33,72,Krasnodar,2018
5,Martin Olsson,DEF,30,43,Swansea City,2018
6,Ludwig Augustinsson,DEF,24,15,Werder Bremen,2018
7,Sebastian Larsson,MED,33,100,Hull City,2018
8,Albin Ekdal,MED,28,34,Hamburgo SV,2018
9,Marcus Berg,DEL,31,57,Al-Ain,2018
10,Emil Forsberg,MED,26,36,RB Leipzig,2018
11,John Guidetti,DEL,26,20,Alaves,2018
12,Karl-Johan Johnsson,POR,28,5,Guingamp,2018
13,Gustav Svensson,MED,31,13,Seattle Sounders,2018
14,Filip Helander,DEF,25,4,Bologna,2018
15,Oscar Hiljemark,MED,25,22,Genoa,2018
16,Emil Krafth,DEF,23,13,Bologna,2018
17,Viktor Claesson,MED,26,22,Krasnodar,2018
18,Pontus Jansson,DEF,27,15,Leeds United,2018
19,Marcus Rohden,MED,27,12,Crotone,2018
20,Ola Toivonen,DEL,31,59,Toulouse,2018
21,Jimmy Durmaz,MED,29,45,Toulouse,2018
22,Isaac Kiese Thelin,DEL,25,20,Waasland-Beveren,2018
23,Kristoffer Nordfeldt,POR,28,8,Swansea City,2018
24,Janne Andersson,DT,,,,
