#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Farouk Ben Mustapha,POR,28,15,Al-Shabab,2018
2,Syam Ben Youssef,DEF,29,42,Kasimpasa,2018
3,Yohan Benalouane,DEF,31,4,Leicester City,2018
4,Yassine Meriah,DEF,24,16,CS Sfaxien,2018
5,Oussama Haddadi,DEF,26,9,Dijon FCO,2018
6,Rami Bedoui,DEF,28,8,Etoile du Sahel,2018
7,Saif-Eddine Khaoui,DEL,23,5,Troyes,2018
8,Fakhreddine Ben Youssef,DEL,26,39,Al-Ettifaq,2018
9,Anice Badri,MED,27,7,Esperance de Tunis,2018
10,Wahbi Khazri,DEL,27,35,Rennes,2018
11,Dylan Bronn,DEF,22,5,KAA Gent,2018
12,Ali Maaloul,DEF,28,46,Al-Ahly,2018
13,Ferjani Sassi,MED,26,39,Al-Nassr,2018
14,Mohamed Amine Ben Amor,MED,27,26,Al-Ahli,2018
15,Ahmed Khalil,DEL,23,3,Club Africain,2018
16,Aymen Mathlouthi,POR,33,70,Al-Batin,2018
17,Ellyes Skhiri,MED,23,5,Montpellier,2018
18,Bassem Srarfi,DEL,20,5,OGC Nice,2018
19,Saber Khalifa,DEL,31,44,Club Africain,2018
20,Ghailene Chaalali,DEL,24,6,Esperance de Tunis,2018
21,Hamdi Nagguez,DEF,25,15,Zamalek,2018
22,Mouez Hassen,POR,23,3,Chateauroux,2018
23,Naim Sliti,DEL,25,17,Dijon FCO,2018
24,Nabil Maaloul,DT,,,,
