jugador,goles,partidos,promedio,seleccion,year
abdelmoumene djabou,2,3,0.7,ALG,2014
admir mehmedi,1,4,0.2,SWZ,2014
adnan januzaj,1,1,1,BEL,2018
ahmed musa,2,4,0.5,NGR,2014
ahmed musa,2,3,0.7,NGR,2018
aleksandar kolarov,1,3,0.3,SRB,2018
aleksandar mitrović,1,3,0.3,SRB,2018
aleksandr golovin,1,4,0.2,RUS,2018
alexander kerzhakov,1,3,0.3,RUS,2014
alexander kokorin,1,3,0.3,RUS,2014
alexis sanchez,2,4,0.5,CHI,2014
alfreð finnbogason,1,3,0.3,ISL,2018
alvaro pereira,1,5,0.2,URU,2010
andre ayew,2,3,0.7,GHA,2014
andre carrillo,1,3,0.3,PER,2018
andre schurrle,3,6,0.5,GER,2014
andreas granqvist,2,5,0.4,SUE,2018
andreas samaris,1,2,0.5,GRE,2014
andrej kramarić,1,7,0.1,CRO,2018
andres guardado,1,4,0.2,MEX,2014
andres iniesta,2,6,0.3,SPA,2010
angel di maria,1,5,0.2,ARG,2014
angel di maria,1,3,0.3,ARG,2018
ante rebić,1,6,0.2,CRO,2018
antoine griezmann,4,7,0.6,FRA,2018
antolin alcaraz,1,4,0.2,PAR,2010
antonio di natale,1,3,0.3,ITA,2010
arjen robben,2,5,0.4,NED,2010
arjen robben,3,7,0.4,NED,2014
arne friedrich,1,7,0.1,GER,2010
artiom dziuba,3,5,0.6,RUS,2018
asamoah gyan,3,5,0.6,GHA,2010
asamoah gyan,2,3,0.7,GHA,2014
avdija vršajević,1,1,1,BOS,2014
benjamin pavard,1,6,0.2,FRA,2018
blaise matuidi,1,5,0.2,FRA,2014
blerim džemaili,1,3,0.3,SWZ,2014
blerim džemaili,1,4,0.2,SWZ,2018
bongani khumalo,1,3,0.3,SOA,2010
brett holman,2,3,0.7,AUS,2010
bryan ruiz,2,5,0.4,CRC,2014
cacau,1,4,0.2,GER,2010
carles puyol,1,7,0.1,SPA,2010
carlo costly,1,3,0.3,HON,2014
carlos tevez,2,4,0.5,ARG,2010
carlos vela,1,4,0.2,MEX,2018
charles aranguiz,1,4,0.2,CHI,2014
christian eriksen,1,4,0.2,DEN,2018
claudio marchisio,1,3,0.3,ITA,2014
clint dempsey,1,4,0.2,USA,2010
clint dempsey,2,4,0.5,USA,2014
cristian riveros,1,5,0.2,PAR,2010
cristiano ronaldo,1,4,0.2,POR,2010
cristiano ronaldo,1,3,0.3,POR,2014
cristiano ronaldo,4,4,1,POR,2018
cuauhtemoc blanco n. 1​,1,3,0.3,MEX,2010
daley blind,1,7,0.1,NED,2014
daniel sturridge,1,3,0.3,ENG,2014
daniele de rossi,1,3,0.3,ITA,2010
david luiz,2,7,0.3,BRA,2014
david villa,5,7,0.7,SPA,2010
david villa,1,1,1,SPA,2014
dele alli,1,5,0.2,ENG,2018
denis cheryshev,4,5,0.8,RUS,2018
dennis rommedahl,1,3,0.3,DEN,2010
didier drogba,1,3,0.3,IVC,2010
diego costa,3,4,0.8,SPA,2018
diego forlan,5,7,0.7,URU,2010
diego godin,1,4,0.2,URU,2014
dimitris salpingidis,1,2,0.5,GRE,2010
dirk kuyt,1,7,0.1,NED,2010
divock origi,1,5,0.2,BEL,2014
domagoj vida,1,6,0.2,CRO,2018
dries mertens,1,5,0.2,BEL,2014
dries mertens,1,6,0.2,BEL,2018
dylan bronn,1,2,0.5,TNZ,2018
eden hazard,3,6,0.5,BEL,2018
edin džeko,1,3,0.3,BOS,2014
edinson cavani,1,6,0.2,URU,2010
edinson cavani,1,4,0.2,URU,2014
edinson cavani,3,4,0.8,URU,2018
eduardo vargas,1,4,0.2,CHI,2014
elano,2,2,1,BRA,2010
emil forsberg,1,5,0.2,SUE,2018
enner valencia,3,3,1,ECU,2014
enrique vera,1,5,0.2,PAR,2010
fabio quagliarella,1,1,1,ITA,2010
fakhreddine ben youssef,1,3,0.3,TNZ,2018
felipe baloy,1,1,1,PAN,2018
ferjani sassi,1,3,0.3,TNZ,2018
fernandinho,1,5,0.2,BRA,2014
fernando torres,1,3,0.3,SPA,2014
florent malouda,1,3,0.3,FRA,2010
fred,1,6,0.2,BRA,2014
gabriel heinze,1,4,0.2,ARG,2010
gabriel mercado,1,3,0.3,ARG,2018
gelson fernandes,1,3,0.3,SWZ,2010
genki haraguchi,1,3,0.3,JAP,2018
georginio wijnaldum,1,7,0.1,NED,2014
