no partido,jugador,tiempo,extra,tipo de gol,seleccion
110,abdelmoumene djabou,38,,,ALG
110,islam slimani,26,,,ALG
111,islam slimani,60,,,ALG
110,rafik halliche,28,,,ALG
107,sofiane feghouli,25,,,ALG
110,yacine brahimi,62,,,ALG
5,salem al-dawsari,90,5,,ARA
5,salman al-faraj,45,6,,ARA
49,angel di maria,41,,,ARG
119,angel di maria,118,,,ARG
180,carlos tevez,26,,,ARG
180,carlos tevez,52,,,ARG
136,gabriel heinze,6,,,ARG
49,gabriel mercado,48,,,ARG
123,gonzalo higuain,8,,,ARG
137,gonzalo higuain,33,,,ARG
137,gonzalo higuain,76,,,ARG
137,gonzalo higuain,80,,,ARG
180,gonzalo higuain,33,,,ARG
24,lionel messi,14,,,ARG
95,lionel messi,65,,,ARG
97,lionel messi,90,1,,ARG
100,lionel messi,3,,,ARG
100,lionel messi,45,1,,ARG
24,marcos rojo,86,,,ARG
100,marcos rojo,50,,,ARG
139,martin demichelis,77,,,ARG
139,martin palermo,89,,,ARG
19,sergio aguero,19,,,ARG
49,sergio aguero,90,32,,ARG
150,brett holman,11,,,AUS
151,brett holman,73,,,AUS
13,mile jedinak,62,,,AUS
15,mile jedinak,38,,,AUS
73,mile jedinak,54,,,AUS
41,adnan januzaj,51,,,BEL
109,divock origi,88,,,BEL
37,dries mertens,47,,,BEL
107,dries mertens,80,,,BEL
39,eden hazard,6,,,BEL
39,eden hazard,51,,,BEL
63,eden hazard,82,,,BEL
54,jan vertonghen,69,,,BEL
112,jan vertonghen,78,,,BEL
58,kevin de bruyne,31,,,BEL
120,kevin de bruyne,93,,,BEL
39,michy batshuayi,90,,,BEL
54,nacer chadli,90,4,,BEL
37,romelu lukaku,69,,,BEL
37,romelu lukaku,75,,,BEL
39,romelu lukaku,16,,,BEL
39,romelu lukaku,45,3,,BEL
120,romelu lukaku,105,,,BEL
63,thomas meunier,4,,,BEL
113,david luiz,18,,,BRA
122,david luiz,69,,,BRA
166,elano,72,,,BRA
167,elano,62,,,BRA
