no partido,id jugador,jugador,seleccion,a favor de,tiempo,extra,es_auto_gol,año
1,1430,aleksandr golovin,RUS,RUS,90,4,0,2018
1,1437,artiom dziuba,RUS,RUS,71,0,0,2018
1,1439,denis cheryshev,RUS,RUS,43,0,0,2018
1,1439,denis cheryshev,RUS,RUS,90,1,0,2018
1,1451,yuri gazinski,RUS,RUS,12,0,0,2018
2,1838,jose maria gimenez,URU,URU,89,0,0,2018
3,547,ahmed fathy,EGT,RUS,47,0,1,2018
3,560,mohamed salah,EGT,EGT,73,0,0,2018
3,1437,artiom dziuba,RUS,RUS,62,0,0,2018
3,1439,denis cheryshev,RUS,RUS,59,0,0,2018
4,1841,luis suarez,URU,URU,23,0,0,2018
5,60,salem al-dawsari,ARA,ARA,90,5,0,2018
5,61,salman al-faraj,ARA,ARA,45,6,0,2018
5,560,mohamed salah,EGT,EGT,22,0,0,2018
6,1439,denis cheryshev,RUS,URU,23,0,1,2018
6,1827,edinson cavani,URU,URU,90,0,0,2018
6,1841,luis suarez,URU,URU,10,0,0,2018
7,1083,aziz bouhaddouz,MAR,IRA,90,5,1,2018
8,1386,cristiano ronaldo,POR,POR,4,0,0,2018
8,1386,cristiano ronaldo,POR,POR,44,0,0,2018
8,1386,cristiano ronaldo,POR,POR,88,0,0,2018
8,1642,diego costa,SPA,SPA,24,0,0,2018
8,1642,diego costa,SPA,SPA,55,,0,2018
8,1661,nacho monreal,SPA,SPA,58,,0,2018
9,1386,cristiano ronaldo,POR,POR,4,,0,2018
10,1642,diego costa,SPA,SPA,54,,0,2018
11,1088,karim el ahmadi,MAR,MIÉ,90,3,0,2018
11,1419,ricardo quaresma,POR,POR,45,,0,2018
12,1089,khalid boutaib,MAR,MIÉ,14,,0,2018
12,1102,youssef en-nesyri,MAR,MIÉ,81,,0,2018
12,1647,iago aspas,SPA,SPA,90,1,0,2018
12,1649,isco,SPA,SPA,19,,0,2018
13,164,mile jedinak,AUS,AUS,62,,0,2018
13,637,antoine griezmann,FRA,FRA,58,,0,2018
13,125,aziz behich,AUS,AUS,81,,0,2018
14,519,yussuf poulsen,DEN,DEN,59,,0,2018
15,164,mile jedinak,AUS,AUS,38,,0,2018
15,478,christian eriksen,DEN,DEN,7,,0,2018
16,656,kylian mbappe,FRA,FRA,34,,0,2018
17,1330,andre carrillo,PER,PER,18,,0,2018
