Abreviatura,Grupo,Anio
URU,A,2010
MEX,A,2010
SOA,A,2010
FRA,A,2010
ARG,B,2010
KPR,B,2010
GRE,B,2010
NGR,B,2010
USA,C,2010
ENG,C,2010
SLN,C,2010
ALG,C,2010
GER,D,2010
GHA,D,2010
AUS,D,2010
SRB,D,2010
NED,E,2010
JAP,E,2010
DEN,E,2010
CAM,E,2010
PAR,F,2010
SLK,F,2010
NZL,F,2010
ITA,F,2010
BRA,G,2010
POR,G,2010
IVC,G,2010
SOK,G,2010
SPA,H,2010
CHI,H,2010
SWZ,H,2010
HON,H,2010
BRA,A,2014
MEX,A,2014
CRO,A,2014
CAM,A,2014
NED,B,2014
CHI,B,2014
SPA,B,2014
AUS,B,2014
COL,C,2014
GRE,C,2014
IVC,C,2014
JAP,C,2014
CRC,D,2014
URU,D,2014
ITA,D,2014
ENG,D,2014
FRA,E,2014
SWZ,E,2014
ECU,E,2014
HON,E,2014
ARG,F,2014
NGR,F,2014
BOS,F,2014
IRA,F,2014
GER,G,2014
USA,G,2014
POR,G,2014
GHA,G,2014
BEL,H,2014
ALG,H,2014
RUS,H,2014
SOK,H,2014
URU,A,2018
RUS,A,2018
ARA,A,2018
EGT,A,2018
SPA,B,2018
POR,B,2018
IRA,B,2018
MAR,B,2018
FRA,C,2018
DEN,C,2018
PER,C,2018
AUS,C,2018
CRO,D,2018
ARG,D,2018
NGR,D,2018
ISL,D,2018
BRA,E,2018
SWZ,E,2018
SRB,E,2018
CRC,E,2018
SUE,F,2018
MEX,F,2018
SOK,F,2018
GER,F,2018
BEL,G,2018
ENG,G,2018
TNZ,G,2018
PAN,G,2018
COL,H,2018
JAP,H,2018
SEN,H,2018
POL,H,2018
