id,Nombre,Seleccion
1,abdelkader ghezzal,ALG
2,abdelkader laifaoui,ALG
3,abdelmoumene djabou,ALG
4,adlène guedioura,ALG
5,aissa mandi,ALG
6,antar yahia,ALG
7,carl medjani,ALG
8,cedric si mohamed,ALG
9,djamel abdoun,ALG
10,djamel mesbah,ALG
11,el arbi hillel soudani,ALG
12,essaid belkalem,ALG
13,faouzi chaouchi,ALG
14,faouzi ghoulam,ALG
15,foued kadir,ALG
16,habib bellaid,ALG
17,hassan yebda,ALG
18,islam slimani,ALG
19,karim matmour,ALG
20,karim ziani,ALG
21,liassine cadamuro,ALG
22,lounes gaouaoui,ALG
23,madjid bougherra,ALG
24,medhi lacen,ALG
25,mehdi mostefa,ALG
26,mohamed zemmamouche,ALG
27,nabil bentaleb,ALG
28,nabil ghilas,ALG
29,nadir belhadj,ALG
30,rabah saadane,ALG
31,rafik djebbour,ALG
32,rafik halliche,ALG
33,rafik saifi,ALG
34,rais m'bolhi,ALG
35,riyad mahrez,ALG
36,ryad boudebouz,ALG
37,saphir taider,ALG
38,sofiane feghouli,ALG
39,vahid halilhodžić,ALG
40,yacine brahimi,ALG
41,yazid mansouri,ALG
42,abdullah al-khaibari,ARA
43,abdullah al-mayouf,ARA
44,abdullah otayf,ARA
45,abdulmalek al-khaibri,ARA
46,ali al-bulaihi,ARA
47,fahad al-muwallad,ARA
48,hattan bahebri,ARA
49,housain al-mogahwi,ARA
50,juan antonio pizzi,ARA
51,mansoor al-harbi,ARA
52,mohamed kanno,ARA
53,mohammad al-sahlawi,ARA
54,mohammed al-breik,ARA
55,mohammed al-owais,ARA
56,motaz hawsawi,ARA
57,muhannad assiri,ARA
58,omar hawsawi,ARA
59,osama hawsawi,ARA
60,salem al-dawsari,ARA
61,salman al-faraj,ARA
62,taisir al-jassim,ARA
63,yahya al-shehri,ARA
64,yasser al-mosailem,ARA
65,yasser al-shahrani,ARA
66,agustin orion,ARG
67,alejandro sabella,ARG
68,angel di maria,ARG
69,ariel garce,ARG
70,augusto fernandez,ARG
71,carlos tevez,ARG
72,clemente rodriguez,ARG
73,cristian ansaldi,ARG
74,cristian pavon,ARG
75,diego maradona †,ARG
76,diego milito,ARG
77,diego pozo,ARG
78,eduardo salvio,ARG
79,enzo perez,ARG
80,ever banega,ARG
81,ezequiel garay,ARG
82,ezequiel lavezzi,ARG
83,federico fazio,ARG
84,federico fernandez,ARG
85,fernando gago,ARG
86,franco armani,ARG
87,gabriel heinze,ARG
88,gabriel mercado,ARG
89,giovani lo celso,ARG
90,gonzalo higuain,ARG
91,hugo campagnaro,ARG
92,javier mascherano,ARG
93,javier pastore,ARG
94,jonas gutierrez,ARG
95,jorge sampaoli,ARG
96,jose basanta,ARG
97,juan sebastian veron,ARG
98,lionel messi,ARG
99,lucas biglia,ARG
100,marcos acuña,ARG
101,marcos rojo,ARG
102,mariano andujar,ARG
103,mario bolatti,ARG
104,martin demichelis,ARG
105,martin palermo,ARG
106,maximiliano meza,ARG
107,maximiliano rodriguez,ARG
108,nahuel guzman,ARG
109,nicolas burdisso,ARG
110,nicolas otamendi,ARG
111,nicolas tagliafico,ARG
112,pablo zabaleta,ARG
113,paulo dybala,ARG
114,ricardo alvarez,ARG
115,rodrigo palacio,ARG
116,sergio aguero,ARG
117,sergio romero,ARG
118,walter samuel,ARG
119,wilfredo caballero,ARG
120,aaron mooy,AUS
121,adam federici,AUS
122,adam taggart,AUS
123,alex wilkinson,AUS
124,andrew nabbout,AUS
125,aziz behich,AUS
126,bailey wright,AUS
127,ben halloran,AUS
128,bert van marwijk,AUS
129,brad jones,AUS
130,brett emerton,AUS
131,brett holman,AUS
132,carl valeri,AUS
133,craig moore,AUS
134,daniel arzani,AUS
135,danny vukovic,AUS
136,dario vidosic,AUS
137,dario vidošić,AUS
138,david carney,AUS
139,dimitri petratos,AUS
140,eugene galekovic,AUS
141,harry kewell,AUS
142,ivan franjic,AUS
143,jackson irvine,AUS
144,james holland,AUS
145,james meredith,AUS
146,james troisi,AUS
147,jamie maclaren,AUS
148,jason culina,AUS
149,jason davidson,AUS
150,josh risdon,AUS
151,joshua kennedy,AUS
152,lucas neill,AUS
153,luke wilkshire,AUS
154,mark bresciano,AUS
155,mark milligan,AUS
156,mark schwarzer,AUS
157,massimo luongo,AUS
158,mathew leckie,AUS
159,mathew ryan,AUS
160,matt mckay,AUS
161,matthew jurman,AUS
162,matthew spiranovic,AUS
163,michael beauchamp,AUS
164,mile jedinak,AUS
165,milos degenek,AUS
166,mitchell langerak,AUS
167,nikita rukavytsya,AUS
168,oliver bozanic,AUS
169,pim verbeek,AUS
170,richard garcia,AUS
171,robbie kruse,AUS
172,ryan mcgowan,AUS
173,scott chipperfield,AUS
174,tim cahill,AUS
175,tom rogić,AUS
176,tomi juric,AUS
177,tommy oar,AUS
178,trent sainsbury,AUS
179,vince grella,AUS
180,adnan januzaj,BEL
181,anthony vanden borre,BEL
182,axel witsel,BEL
183,daniel van buyten,BEL
184,dedryck boyata,BEL
185,divock origi,BEL
186,dries mertens,BEL
187,eden hazard,BEL
188,jan vertonghen,BEL
189,kevin de bruyne,BEL
190,kevin mirallas,BEL
191,koen casteels,BEL
192,laurent ciman,BEL
193,leander dendoncker,BEL
194,marc wilmots,BEL
195,marouane fellaini,BEL
196,michy batshuayi,BEL
197,moussa dembele,BEL
198,nacer chadli,BEL
199,nicolas lombaerts,BEL
200,roberto martinez montoliu,BEL
201,romelu lukaku,BEL
202,sammy bossut1,BEL
203,simon mignolet,BEL
204,steven defour,BEL
205,thibaut courtois,BEL
206,thomas meunier,BEL
207,thomas vermaelen,BEL
208,thorgan hazard,BEL
209,toby alderweireld,BEL
210,vincent kompany,BEL
211,yannick carrasco,BEL
212,youri tielemans,BEL
213,anel hadžić,BOS
214,asmir avdukić,BOS
215,asmir begović,BOS
216,avdija vršajević,BOS
217,edin džeko,BOS
218,edin višća,BOS
219,emir spahić,BOS
220,ermin bičakčić,BOS
221,haris medunjanin,BOS
222,izet hajrović,BOS
223,jasmin fejzić,BOS
224,mensur mujdža,BOS
225,miralem pjanić,BOS
226,muhamed bešić,BOS
227,ognjen vranješ,BOS
228,safet sušić,BOS
229,sead kolašinac,BOS
230,sejad salihović,BOS
231,senad lulić,BOS
232,senijad ibričić,BOS
233,tino sušić,BOS
234,toni šunjić,BOS
235,vedad ibišević,BOS
236,zvjezdan misimović,BOS
237,alisson,BRA
238,bernard,BRA
239,casemiro,BRA
240,cassio,BRA
241,dani alves,BRA
242,danilo,BRA
243,dante,BRA
244,david luiz,BRA
245,doni,BRA
246,douglas costa,BRA
247,dunga,BRA
248,ederson,BRA
249,elano,BRA
250,fagner,BRA
251,felipe melo,BRA
252,fernandinho,BRA
253,filipe luis,BRA
254,fred,BRA
255,gabriel jesus,BRA
256,gilberto,BRA
257,gilberto silva,BRA
258,gomes,BRA
259,grafite,BRA
260,henrique,BRA
261,hernanes,BRA
262,hulk,BRA
263,jefferson,BRA
264,jo,BRA
265,josue,BRA
266,joão miranda,BRA
267,juan,BRA
268,julio baptista,BRA
269,julio cesar,BRA
270,kaka,BRA
271,kleberson,BRA
272,lucio,BRA
273,luis fabiano,BRA
274,luisão,BRA
275,luiz felipe scolari,BRA
276,luiz gustavo,BRA
277,maicon,BRA
278,marcelo,BRA
279,marquinhos,BRA
280,maxwell,BRA
281,michel bastos,BRA
282,neymar jr,BRA
283,nilmar,BRA
284,oscar,BRA
285,paulinho,BRA
286,pedro geromel,BRA
287,philippe coutinho,BRA
288,ramires,BRA
289,renato augusto,BRA
290,roberto firmino,BRA
291,robinho,BRA
292,taison,BRA
293,thiago silva,BRA
294,tite,BRA
295,victor,BRA
296,willian,BRA
297,achille emana,CAM
298,alexandre song,CAM
299,allam nyom,CAM
300,aurelien chedjou,CAM
301,benjamin moukandjo,CAM
302,benoit assou-ekotto,CAM
303,carlos idriss kameni,CAM
304,cedric djeugoue,CAM
305,charles itandje,CAM
306,dany nounkeu,CAM
307,edgar salli,CAM
308,eric maxim choupo-moting,CAM
309,eyong enoh,CAM
310,fabrice olinga,CAM
311,gaetan bong,CAM
312,georges mandjeck,CAM
313,geremi njitap,CAM
314,guy n'dy assembe,CAM
315,henri bedimo,CAM
316,jean ii makoun,CAM
317,joel matip,CAM
318,landry n'guemo,CAM
319,loic feudjou,CAM
320,mohammadou idrissou,CAM
321,nicolas n'koulou,CAM
322,paul le guen,CAM
323,pierre webo,CAM
324,rigobert song,CAM
325,sammy n'djock,CAM
326,samuel eto'o,CAM
327,sebastien bassong,CAM
328,souleymanou hamidou,CAM
329,stephane mbia,CAM
330,vincent aboubakar,CAM
331,volker finke,CAM
332,alexis sanchez,CHI
333,arturo vidal,CHI
334,carlos carmona,CHI
335,charles aranguiz,CHI
336,claudio bravo,CHI
337,cristopher toselli,CHI
338,eduardo vargas,CHI
339,esteban paredes,CHI
340,eugenio mena,CHI
341,fabian orellana,CHI
342,felipe gutierrez,CHI
343,francisco silva,CHI
344,gary medel,CHI
345,gonzalo fierro,CHI
346,gonzalo jara,CHI
347,humberto suazo,CHI
348,ismael fuentes,CHI
349,jean beausejour,CHI
350,johnny herrera,CHI
351,jorge valdivia,CHI
352,jose pedro fuenzalida,CHI
353,jose rojas,CHI
354,luis marin,CHI
355,marcelo bielsa,CHI
356,marcelo diaz,CHI
357,marco estrada,CHI
358,mark gonzalez,CHI
359,matias fernandez,CHI
360,mauricio isla,CHI
361,mauricio pinilla,CHI
362,miguel pinto,CHI
