No,Anio,Fase,Grupo,Fecha,fecha_formateada,Equipo 1,Marcador,Equipo 2,Tiempo Extra,Penales
1,2018,Grupos,A,Th 14 Jun,14/06/2018,RUS,5-0,ARA,no,
2,2018,Grupos,A,Fr 15 Jun,15/06/2018,EGT,0-1,URU,no,
3,2018,Grupos,A,Tu 19 Jun,19/06/2018,RUS,3-1,EGT,no,
4,2018,Grupos,A,We 20 Jun,20/06/2018,URU,1-0,ARA,no,
5,2018,Grupos,A,Mo 25 Jun,25/06/2018,ARA,2-1,EGT,no,
6,2018,Grupos,A,Mo 25 Jun,25/06/2018,URU,3-0,RUS,no,
7,2018,Grupos,B,Fr 15 Jun,15/06/2018,MAR,0-1,IRA,no,
8,2018,Grupos,B,Fr 15 Jun,15/06/2018,POR,3-3,SPA,no,
9,2018,Grupos,B,We 20 Jun,20/06/2018,POR,1-0,MAR,no,
10,2018,Grupos,B,We 20 Jun,20/06/2018,IRA,0-1,SPA,no,
11,2018,Grupos,B,Mo 25 Jun,25/06/2018,IRA,1-1,POR,no,
12,2018,Grupos,B,Mo 25 Jun,25/06/2018,SPA,2-2,MAR,no,
13,2018,Grupos,C,Sa 16 Jun,16/06/2018,FRA,2-1,AUS,no,
14,2018,Grupos,C,Sa 16 Jun,16/06/2018,PER,0-1,DEN,no,
15,2018,Grupos,C,Th 21 Jun,21/06/2018,DEN,1-1,AUS,no,
16,2018,Grupos,C,Th 21 Jun,21/06/2018,FRA,1-0,PER,no,
17,2018,Grupos,C,Tu 26 Jun,26/06/2018,AUS,0-2,PER,no,
18,2018,Grupos,C,Tu 26 Jun,26/06/2018,DEN,0-0,FRA,no,
19,2018,Grupos,D,Sa 16 Jun,16/06/2018,ARG,1-1,ISL,no,
20,2018,Grupos,D,Sa 16 Jun,16/06/2018,CRO,2-0,NGR,no,
21,2018,Grupos,D,Th 21 Jun,21/06/2018,ARG,0-3,CRO,no,
22,2018,Grupos,D,Fr 22 Jun,22/06/2018,NGR,2-0,ISL,no,
23,2018,Grupos,D,Tu 26 Jun,26/06/2018,ISL,1-2,CRO,no,
24,2018,Grupos,D,Tu 26 Jun,26/06/2018,NGR,1-2,ARG,no,
25,2018,Grupos,E,Su 17 Jun,17/06/2018,CRC,0-1,SRB,no,
26,2018,Grupos,E,Su 17 Jun,17/06/2018,BRA,1-1,SWZ,no,
27,2018,Grupos,E,Fr 22 Jun,22/06/2018,BRA,2-0,CRC,no,
28,2018,Grupos,E,Fr 22 Jun,22/06/2018,SRB,1-2,SWZ,no,
29,2018,Grupos,E,We 27 Jun,27/06/2018,SRB,0-2,BRA,no,
30,2018,Grupos,E,We 27 Jun,27/06/2018,SWZ,2-2,CRC,no,
31,2018,Grupos,F,Su 17 Jun,17/06/2018,GER,0-1,MEX,no,
32,2018,Grupos,F,Mo 18 Jun,18/06/2018,SUE,1-0,SOK,no,
33,2018,Grupos,F,Sa 23 Jun,23/06/2018,SOK,1-2,MEX,no,
34,2018,Grupos,F,Sa 23 Jun,23/06/2018,GER,2-1,SUE,no,
35,2018,Grupos,F,We 27 Jun,27/06/2018,MEX,0-3,SUE,no,
36,2018,Grupos,F,We 27 Jun,27/06/2018,SOK,2-0,GER,no,
37,2018,Grupos,G,Mo 18 Jun,18/06/2018,BEL,3-0,PAN,no,
38,2018,Grupos,G,Mo 18 Jun,18/06/2018,TNZ,1-2,ENG,no,
39,2018,Grupos,G,Sa 23 Jun,23/06/2018,BEL,5-2,TNZ,no,
40,2018,Grupos,G,Su 24 Jun,24/06/2018,ENG,6-1,PAN,no,
41,2018,Grupos,G,Th 28 Jun,28/06/2018,ENG,0-1,BEL,no,
