Posición,Selección,Mundiales,Campeón,PTS,partidos jugados,ganados,empatados,perdidos,goles a favor,goles en contra,Dif
1,BRA,22,5,237,109,73,18,18,229,105,124
2,GER,20,4,221,109,67,20,22,226,125,101
3,ITA,18,4,156,83,45,21,17,128,77,51
4,ARG,18,2,144,81,43,15,23,137,93,44
5,FRA,16,2,115,66,34,13,19,120,77,43
6,ENG,16,1,108,69,29,21,19,120,64,27
7,SPA,16,1,105,63,30,15,18,99,72,27
8,NED,11,,93,50,27,12,11,86,48,38
9,URU,14,2,84,56,24,12,20,87,74,13
10,SUE,12,,70,51,19,13,19,80,73,7
11,BEL,14,,69,48,20,9,19,68,72,-4
12,RUS,11,,67,45,19,10,16,77,54,23
13,SRB,13,,62,46,18,8,20,66,63,3
14,MEX,17,,62,57,16,14,27,60,98,-38
15,POL,9,,53,34,16,5,13,46,45,1
16,HUN,9,,48,32,15,3,14,87,57,30
17,POR,8,,48,30,14,6,10,49,35,14
18,SWZ,12,,44,37,12,8,17,50,64,-14
19,CZE,9,,41,33,12,5,16,47,49,-2
20,AUT,8,,40,29,12,4,13,43,47,-4
21,CHI,9,,40,33,11,7,15,40,49,-9
22,CRO,6,,37,23,11,4,8,35,26,9
23,DEN,6,,32,20,9,5,6,30,26,4
24,PAR,8,,31,27,7,10,10,30,38,-8
25,COL,6,,30,22,9,3,10,32,30,2
26,USA,11,,30,33,8,6,19,37,62,-25
27,ROU,7,,29,21,8,5,8,30,32,-2
28,SOK,11,,27,34,6,9,19,34,70,-36
29,NGR,6,,21,21,6,3,12,23,30,-7
30,JAP,7,,20,21,5,5,11,20,29,-9
31,CRC,5,,20,18,5,5,8,19,28,-9
32,SCO,8,,19,23,4,7,12,25,41,-16
33,CAM,8,,19,23,4,7,12,18,43,-25
34,PER,5,,18,18,5,3,10,21,33,-12
35,BUL,7,,17,26,3,8,15,22,53,-31
36,TUR,2,,16,10,5,1,4,20,17,3
37,GHA,4,,15,12,4,3,5,13,16,-3
38,IRL,3,,14,13,2,8,3,10,10,0
39,NIR,3,,14,13,3,5,5,13,23,-10
40,ECU,4,,13,10,4,1,5,10,11,-1
41,SEN,3,,12,8,3,3,2,11,10,1
42,ALG,4,,12,13,3,3,7,13,19,-6
43,MAR,6,,11,16,2,5,9,14,22,-8
44,ARA,6,,11,16,3,2,11,11,39,-28
45,IVC,3,,10,9,3,1,5,13,14,-1
46,SOA,3,,10,9,2,4,3,11,16,-5
47,TNZ,6,,10,15,2,4,9,13,25,-12
48,IRA,6,,10,15,2,4,9,9,24,-15
49,AUS,5,,10,16,2,4,10,13,31,-18
50,NOR,3,,9,8,2,3,3,7,8,-1
51,DDR,1,,8,6,2,2,2,5,5,0
52,GRE,3,,8,10,2,2,6,5,20,-15
53,UKR,1,,7,5,2,1,2,5,7,-2
54,WAL,1,,6,5,1,3,1,4,4,0
55,SLK,1,,4,4,1,1,2,5,7,-2
56,SLN,2,,4,6,1,1,4,5,10,-5
57,CUB,1,,4,3,1,1,1,5,12,-7
58,KPR,2,,4,7,1,1,5,6,21,-15
59,BOS,1,,3,3,1,0,2,4,4,0
60,JAM,1,,3,3,1,0,2,3,9,-6
61,NZL,2,,3,6,0,3,3,4,14,-10
62,HON,3,,3,9,0,3,6,3,14,-11
63,ANG,1,,2,3,0,2,1,1,2,-1
64,ISR,1,,2,3,0,2,1,1,3,-2
65,EGT,3,,2,7,0,2,5,5,12,-7
66,ISL,1,,1,3,0,1,2,2,5,-3
67,KUW,1,,1,3,0,1,2,2,6,-4
68,TRI,1,,1,3,0,1,2,0,4,-4
69,BOL,3,,1,6,0,1,5,1,20,-19
70,QAT,0,,0,0,0,0,0,0,0,0
71,IRQ,1,,0,3,0,0,3,1,4,-3
72,TOG,1,,0,3,0,0,3,1,6,-5
73,CAN,2,,0,3,0,0,3,0,5,-5
74,IDN,1,,0,1,0,0,1,0,6,-6
75,UAE,1,,0,3,0,0,3,2,11,-9
76,PAN,1,,0,3,0,0,3,2,11,-9
77,CHN,1,,0,3,0,0,3,0,9,-9
78,HAI,1,,0,3,0,0,3,2,14,-12
79,CGO,1,,0,3,0,0,3,0,14,-14
80,SLV,2,,0,6,0,0,6,1,22,-21
