id,minuto,agregado,es_penal,es_tiempo_extra,numero_penal
1,0,0,0,0,0
2,1,0,0,0,0
3,2,0,0,0,0
4,3,0,0,0,0
5,4,0,0,0,0
6,5,0,0,0,0
7,6,0,0,0,0
8,7,0,0,0,0
9,8,0,0,0,0
10,9,0,0,0,0
11,10,0,0,0,0
12,11,0,0,0,0
13,12,0,0,0,0
14,13,0,0,0,0
15,14,0,0,0,0
16,15,0,0,0,0
17,16,0,0,0,0
18,17,0,0,0,0
19,18,0,0,0,0
20,19,0,0,0,0
21,20,0,0,0,0
22,21,0,0,0,0
23,22,0,0,0,0
24,23,0,0,0,0
25,24,0,0,0,0
26,25,0,0,0,0
27,26,0,0,0,0
28,27,0,0,0,0
29,28,0,0,0,0
30,29,0,0,0,0
31,30,0,0,0,0
32,31,0,0,0,0
33,32,0,0,0,0
34,33,0,0,0,0
35,34,0,0,0,0
36,35,0,0,0,0
37,36,0,0,0,0
38,37,0,0,0,0
39,38,0,0,0,0
40,39,0,0,0,0
41,40,0,0,0,0
42,41,0,0,0,0
43,42,0,0,0,0
44,43,0,0,0,0
45,44,0,0,0,0
46,45,0,0,0,0
47,45,1,0,0,0
48,45,2,0,0,0
49,45,3,0,0,0
50,45,4,0,0,0
51,45,5,0,0,0
52,45,6,0,0,0
53,45,7,0,0,0
54,46,0,0,0,0
55,47,0,0,0,0
56,48,0,0,0,0
57,49,0,0,0,0
58,50,0,0,0,0
59,51,0,0,0,0
60,52,0,0,0,0
61,53,0,0,0,0
62,54,0,0,0,0
63,55,0,0,0,0
64,56,0,0,0,0
65,57,0,0,0,0
66,58,0,0,0,0
67,59,0,0,0,0
68,60,0,0,0,0
69,61,0,0,0,0
70,62,0,0,0,0
71,63,0,0,0,0
72,64,0,0,0,0
73,65,0,0,0,0
74,66,0,0,0,0
75,67,0,0,0,0
76,68,0,0,0,0
77,69,0,0,0,0
78,70,0,0,0,0
79,71,0,0,0,0
80,72,0,0,0,0
81,73,0,0,0,0
82,74,0,0,0,0
83,75,0,0,0,0
84,76,0,0,0,0
85,77,0,0,0,0
86,78,0,0,0,0
87,79,0,0,0,0
88,80,0,0,0,0
89,81,0,0,0,0
90,82,0,0,0,0
91,83,0,0,0,0
92,84,0,0,0,0
93,85,0,0,0,0
94,86,0,0,0,0
95,87,0,0,0,0
96,88,0,0,0,0
97,89,0,0,0,0
98,90,0,0,0,0
99,90,1,0,0,0
100,90,2,0,0,0
101,90,3,0,0,0
102,90,4,0,0,0
103,90,5,0,0,0
104,90,6,0,0,0
105,90,7,0,0,0
106,91,0,0,1,0
107,92,0,0,1,0
108,93,0,0,1,0
109,94,0,0,1,0
110,95,0,0,1,0
111,96,0,0,1,0
112,97,0,0,1,0
113,98,0,0,1,0
114,99,0,0,1,0
115,100,0,0,1,0
116,101,0,0,1,0
117,102,0,0,1,0
118,103,0,0,1,0
119,104,0,0,1,0
120,105,0,0,1,0
121,105,1,0,1,0
122,105,2,0,1,0
123,105,3,0,1,0
124,105,4,0,1,0
125,105,5,0,1,0
126,105,6,0,1,0
127,105,7,0,1,0
128,106,0,0,1,0
129,107,0,0,1,0
130,108,0,0,1,0
131,109,0,0,1,0
132,110,0,0,1,0
133,111,0,0,1,0
134,112,0,0,1,0
135,113,0,0,1,0
136,114,0,0,1,0
137,115,0,0,1,0
138,116,0,0,1,0
139,117,0,0,1,0
140,118,0,0,1,0
141,119,0,0,1,0
142,120,0,0,1,0
143,120,1,0,1,0
144,120,2,0,1,0
145,120,3,0,1,0
146,120,4,0,1,0
147,120,5,0,1,0
148,120,6,0,1,0
149,120,7,0,1,0
150,120,0,1,0,1
151,120,0,1,0,2
152,120,0,1,0,3
153,120,0,1,0,4
154,120,0,1,0,5
155,120,0,1,0,6
156,120,0,1,0,7
157,120,0,1,0,8
158,120,0,1,0,9
159,120,0,1,0,10
