abdelmoumene djabou,2,3,0.7,ALG,2014,3
admir mehmedi,1,4,0.2,SWZ,2014,1743
adnan januzaj,1,1,1,BEL,2018,180
ahmed musa,2,4,0.5,NGR,2014,1194
ahmed musa,2,3,0.7,NGR,2018,1194
aleksandar kolarov,1,3,0.3,SRB,2018,1676
aleksandar mitrović,1,3,0.3,SRB,2018,1678
aleksandr golovin,1,4,0.2,RUS,2018,1430
alexander kerzhakov,1,3,0.3,RUS,2014,
alexander kokorin,1,3,0.3,RUS,2014,
alexis sanchez,2,4,0.5,CHI,2014,332
alfreð finnbogason,1,3,0.3,ISL,2018,901
alvaro pereira,1,5,0.2,URU,2010,1817
andre ayew,2,3,0.7,GHA,2014,743
andre carrillo,1,3,0.3,PER,2018,1330
andre schurrle,3,6,0.5,GER,2014,690
andreas granqvist,2,5,0.4,SUE,2018,1720
andreas samaris,1,2,0.5,GRE,2014,782
andrej kramarić,1,7,0.1,CRO,2018,441
andres guardado,1,4,0.2,MEX,2014,1107
andres iniesta,2,6,0.3,SPA,2010,1633
angel di maria,1,5,0.2,ARG,2014,68
angel di maria,1,3,0.3,ARG,2018,68
ante rebić,1,6,0.2,CRO,2018,442
antoine griezmann,4,7,0.6,FRA,2018,637
antolin alcaraz,1,4,0.2,PAR,2010,1304
antonio di natale,1,3,0.3,ITA,2010,932
arjen robben,2,5,0.4,NED,2010,1153
arjen robben,3,7,0.4,NED,2014,1153
arne friedrich,1,7,0.1,GER,2010,692
artiom dziuba,3,5,0.6,RUS,2018,1437
asamoah gyan,3,5,0.6,GHA,2010,745
asamoah gyan,2,3,0.7,GHA,2014,745
avdija vršajević,1,1,1,BOS,2014,216
benjamin pavard,1,6,0.2,FRA,2018,640
blaise matuidi,1,5,0.2,FRA,2014,641
blerim džemaili,1,3,0.3,SWZ,2014,1748
blerim džemaili,1,4,0.2,SWZ,2018,1748
bongani khumalo,1,3,0.3,SOA,2010,1535
brett holman,2,3,0.7,AUS,2010,131
bryan ruiz,2,5,0.4,CRC,2014,406
cacau,1,4,0.2,GER,2010,695
carles puyol,1,7,0.1,SPA,2010,1634
carlo costly,1,3,0.3,HON,2014,824
carlos tevez,2,4,0.5,ARG,2010,71
carlos vela,1,4,0.2,MEX,2018,1111
charles aranguiz,1,4,0.2,CHI,2014,335
