#,Nombre,Seleccion,id
9,abdelkader ghezzal,ALG,1
14,abdelkader laifaoui,ALG,2
18,abdelmoumene djabou,ALG,3
17,adlène guedioura,ALG,4
20,aissa mandi,ALG,5
4,antar yahia,ALG,6
18,carl medjani,ALG,7
1,cedric si mohamed,ALG,8
22,djamel abdoun,ALG,9
20,djamel mesbah,ALG,10
15,el arbi hillel soudani,ALG,11
4,essaid belkalem,ALG,12
16,faouzi chaouchi,ALG,13
3,faouzi ghoulam,ALG,14
21,foued kadir,ALG,15
12,habib bellaid,ALG,16
19,hassan yebda,ALG,17
13,islam slimani,ALG,18
13,karim matmour,ALG,19
15,karim ziani,ALG,20
17,liassine cadamuro,ALG,21
1,lounes gaouaoui,ALG,22
2,madjid bougherra,ALG,23
8,medhi lacen,ALG,24
22,mehdi mostefa,ALG,25
16,mohamed zemmamouche,ALG,26
14,nabil bentaleb,ALG,27
9,nabil ghilas,ALG,28
3,nadir belhadj,ALG,29
24,rabah saadane,ALG,30
11,rafik djebbour,ALG,31
5,rafik halliche,ALG,32
10,rafik saifi,ALG,33
23,rais m'bolhi,ALG,34
21,riyad mahrez,ALG,35
7,ryad boudebouz,ALG,36
19,saphir taider,ALG,37
10,sofiane feghouli,ALG,38
24,vahid halilhodžić,ALG,39
11,yacine brahimi,ALG,40
6,yazid mansouri,ALG,41
15,abdullah al-khaibari,ARA,42
1,abdullah al-mayouf,ARA,43
14,abdullah otayf,ARA,44
11,abdulmalek al-khaibri,ARA,45
4,ali al-bulaihi,ARA,46
19,fahad al-muwallad,ARA,47
9,hattan bahebri,ARA,48
16,housain al-mogahwi,ARA,49
24,juan antonio pizzi,ARA,50
2,mansoor al-harbi,ARA,51
12,mohamed kanno,ARA,52
10,mohammad al-sahlawi,ARA,53
6,mohammed al-breik,ARA,54
22,mohammed al-owais,ARA,55
23,motaz hawsawi,ARA,56
20,muhannad assiri,ARA,57
5,omar hawsawi,ARA,58
3,osama hawsawi,ARA,59
18,salem al-dawsari,ARA,60
7,salman al-faraj,ARA,61
17,taisir al-jassim,ARA,62
8,yahya al-shehri,ARA,63
21,yasser al-mosailem,ARA,64
13,yasser al-shahrani,ARA,65
12,agustin orion,ARG,66
24,alejandro sabella,ARG,67
7,angel di maria,ARG,68
12,ariel garce,ARG,69
13,augusto fernandez,ARG,70
11,carlos tevez,ARG,71
3,clemente rodriguez,ARG,72
4,cristian ansaldi,ARG,73
22,cristian pavon,ARG,74
24,diego maradona †,ARG,75
19,diego milito,ARG,76
1,diego pozo,ARG,77
18,eduardo salvio,ARG,78
15,enzo perez,ARG,79
7,ever banega,ARG,80
2,ezequiel garay,ARG,81
22,ezequiel lavezzi,ARG,82
6,federico fazio,ARG,83
17,federico fernandez,ARG,84
5,fernando gago,ARG,85
12,franco armani,ARG,86
6,gabriel heinze,ARG,87
2,gabriel mercado,ARG,88
20,giovani lo celso,ARG,89
9,gonzalo higuain,ARG,90
3,hugo campagnaro,ARG,91
14,javier mascherano,ARG,92
23,javier pastore,ARG,93
17,jonas gutierrez,ARG,94
24,jorge sampaoli,ARG,95
23,jose basanta,ARG,96
8,juan sebastian veron,ARG,97
10,lionel messi,ARG,98
5,lucas biglia,ARG,99
8,marcos acuña,ARG,100
16,marcos rojo,ARG,101
21,mariano andujar,ARG,102
5,mario bolatti,ARG,103
2,martin demichelis,ARG,104
18,martin palermo,ARG,105
13,maximiliano meza,ARG,106
20,maximiliano rodriguez,ARG,107
1,nahuel guzman,ARG,108
4,nicolas burdisso,ARG,109
15,nicolas otamendi,ARG,110
