#,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion,id
9,abdelkader ghezzal,DEL,25,18,ac siena,2010,ALG,1
14,abdelkader laifaoui,DEF,28,7,es setif,2010,ALG,2
18,abdelmoumene djabou,DEL,27,8,club africain,2014,ALG,3
17,adlène guedioura,CEN,24,1,wolverhampton,2010,ALG,4
20,aissa mandi,DEF,22,2,stade de reims,2014,ALG,5
4,antar yahia,DEF,28,43,vfl bochum,2010,ALG,6
18,carl medjani,DEF,25,               ,ac ajaccio,2010,ALG,7
12,carl medjani,DEF,29,26,valenciennes,2014,ALG,7
1,cedric si mohamed,POR,29,1,constantine,2014,ALG,8
22,djamel abdoun,CEN,24,3,fc nantes,2010,ALG,9
20,djamel mesbah,DEF,25,1,us lecce,2010,ALG,10
6,djamel mesbah,DEF,29,26,livorno,2014,ALG,10
15,el arbi hillel soudani,DEL,26,22,dinamo zagreb,2014,ALG,11
4,essaid belkalem,DEF,25,13,watford,2014,ALG,12
16,faouzi chaouchi,POR,25,9,es setif,2010,ALG,13
3,faouzi ghoulam,DEF,23,6,napoli,2014,ALG,14
21,foued kadir,CEN,26,1,valenciennes fc,2010,ALG,15
12,habib bellaid,DEF,24,1,us boulogne,2010,ALG,16
19,hassan yebda,CEN,26,9,portsmouth fc,2010,ALG,17
7,hassan yebda,CEN,30,25,udinese,2014,ALG,17
13,islam slimani,DEL,25,20,sporting de lisboa,2014,ALG,18
13,karim matmour,CEN,24,22,borussia monchengladbach,2010,ALG,19
15,karim ziani,CEN,27,54,vfl wolfsburgo,2010,ALG,20
17,liassine cadamuro,DEF,26,7,mallorca,2014,ALG,21
1,lounes gaouaoui,POR,32,48,aso chlef,2010,ALG,22
2,madjid bougherra,DEF,27,40,rangers fc,2010,ALG,23
2,madjid bougherra,DEF,31,62,lekhwiya,2014,ALG,23
8,medhi lacen,CEN,26,2,racing santander,2010,ALG,24
8,medhi lacen,CEN,30,30,getafe,2014,ALG,24
22,mehdi mostefa,CEN,30,23,ajaccio,2014,ALG,25
16,mohamed zemmamouche,POR,29,7,alger,2014,ALG,26
14,nabil bentaleb,CEN,19,3,tottenham hotspur,2014,ALG,27
9,nabil ghilas,DEL,24,5,porto,2014,ALG,28
3,nadir belhadj,DEF,27,44,portsmouth fc,2010,ALG,29
