jugador,goles,partidos,promedio,seleccion,year
abdelmoumene djabou,2,3,0.67,ALG,2014
islam slimani,2,4,0.5,ALG,2014
rafik halliche,1,4,0.25,ALG,2014
sofiane feghouli,1,4,0.25,ALG,2014
yacine brahimi,1,3,0.33,ALG,2014
salem al-dawsari,1,3,0.33,ARA,2018
salman al-faraj,1,3,0.33,ARA,2018
angel di maria,1,5,0.2,ARG,2014
angel di maria,1,3,0.33,ARG,2018
carlos tevez,2,4,0.5,ARG,2010
gabriel heinze,1,4,0.25,ARG,2010
gabriel mercado,1,3,0.33,ARG,2018
gonzalo higuain,4,4,1,ARG,2010
gonzalo higuain,1,7,0.14,ARG,2014
lionel messi,4,7,0.57,ARG,2014
lionel messi,1,4,0.25,ARG,2018
marcos rojo,1,6,0.17,ARG,2014
marcos rojo,1,3,0.33,ARG,2018
martin demichelis,1,5,0.2,ARG,2010
martin palermo,1,1,1,ARG,2010
sergio aguero,2,4,0.5,ARG,2018
brett holman,2,3,0.67,AUS,2010
mile jedinak,1,3,0.33,AUS,2014
mile jedinak,2,3,0.67,AUS,2018
tim cahill,1,2,0.5,AUS,2010
tim cahill,2,2,1,AUS,2014
adnan januzaj,1,1,1,BEL,2018
divock origi,1,5,0.2,BEL,2014
dries mertens,1,5,0.2,BEL,2014
dries mertens,1,6,0.17,BEL,2018
eden hazard,3,6,0.5,BEL,2018
jan vertonghen,1,5,0.2,BEL,2014
jan vertonghen,1,6,0.17,BEL,2018
kevin de bruyne,1,4,0.25,BEL,2014
kevin de bruyne,1,6,0.17,BEL,2018
marouane fellaini,1,5,0.2,BEL,2014
marouane fellaini,1,5,0.2,BEL,2018
michy batshuayi,1,3,0.33,BEL,2018
nacer chadli,1,6,0.17,BEL,2018
romelu lukaku,1,4,0.25,BEL,2014
romelu lukaku,4,6,0.67,BEL,2018
thomas meunier,1,5,0.2,BEL,2018
avdija vršajević,1,1,1,BOS,2014
edin džeko,1,3,0.33,BOS,2014
miralem pjanić,1,3,0.33,BOS,2014
vedad ibišević,1,3,0.33,BOS,2014
david luiz,2,7,0.29,BRA,2014
elano,2,2,1,BRA,2010
fernandinho,1,5,0.2,BRA,2014
fred,1,6,0.17,BRA,2014
juan,1,5,0.2,BRA,2010
luis fabiano,3,5,0.6,BRA,2010
maicon,1,5,0.2,BRA,2010
neymar jr,4,5,0.8,BRA,2014
neymar jr,2,5,0.4,BRA,2018
oscar,2,7,0.29,BRA,2014
paulinho,1,5,0.2,BRA,2018
philippe coutinho,2,5,0.4,BRA,2018
renato augusto,1,3,0.33,BRA,2018
roberto firmino,1,4,0.25,BRA,2018
