No. partido,Seleccion,Jugador,Tiempo,extra,tipo
110,ALG,Abdelmoumene Djabou,38,,
117,GER,Abdelmoumene Djabou,120,4,
89,SWZ,Admir Mehmedi,48,,
41,BEL,Adnan Januzaj,51,,
3,EGT,Ahmed Fathy,47,,AG
22,NGR,Ahmed Musa,49,,
22,NGR,Ahmed Musa,75,,
100,NGR,Ahmed Musa,4,,
100,NGR,Ahmed Musa,47,,
25,SRB,Aleksandar Kolarov,56,,
28,SRB,Aleksandar Mitrovic,5,,
1,RUS,Aleksandr Golovin,90,4,
108,RUS,Alexander Kerzhakov,74,,
111,RUS,Alexander Kokorin,6,,
72,CHI,Alexis Sanchez,12,,
113,CHI,Alexis Sanchez,32,,
19,ISL,Alfred Finnbogason,23,,
131,URU,Alvaro Pereira,90,5,
187,GER,Ame Friedrich,74,,
102,GHA,Andre Ayew,82,,
103,GHA,Andre Ayew,54,,
17,PER,Andre Carrillo,18,,
117,GER,Andre Schurrle,92,,
125,GER,Andre Schurrle,69,,
125,GER,Andre Schurrle,79,,
32,SUE,Andreas Granqvist,65,,
35,SUE,Andreas Granqvist,62,,
81,GRE,Andreas Samaris,42,,
60,CRO,Andrej Kramaric,39,,
70,MEX,Andres Guardado,75,,
175,SPA,Andres Iniesta,37,,
192,SPA,Andres Iniesta,116,,
49,ARG,Angel Di Maria,41,,
119,ARG,Angel Di Maria,118,,
21,CRO,Ante Rebic,53,,
13,FRA,Antoine Griezmann,58,,
49,FRA,Antoine Griezmann,13,,
57,FRA,Antoine Griezmann,61,,
64,FRA,Antoine Griezmann,38,,
159,PAR,Antolin Alcaraz,39,,
164,ITA,Antonio Di Natale,81,,
71,NED,Arjen Robben,53,,
71,NED,Arjen Robben,80,,
73,NED,Arjen Robben,20,,
181,NED,Arjen Robben,18,,
189,NED,Arjen Robben,73,,
1,RUS,Artem Dzyuba,71,,
3,RUS,Artem Dzyuba,62,,
51,RUS,Artem Dzyuba,41,,
103,GHA,Asamoah Gyan,63,,
105,GHA,Asamoah Gyan,57,,
147,GHA,Asamoah Gyan,85,,
150,GHA,Asamoah Gyan,25,,
178,GHA,Asamoah Gyan,93,,
99,BOS,Avdija Vrsajevic,83,,
13,FRA,Aziz Behich,81,,
7,IRA,Aziz Bouhaddouez,90,5,AG
49,FRA,Benjamin Pavard,57,,
91,FRA,Blaise Matuidi,18,,
30,SWZ,Blerim Dzemaili,31,,
91,SWZ,Blerim Dzemaili,81,,
133,SOA,Bongani Khumalo,20,,
150,AUS,Brett Holman,11,,
151,AUS,Brett Holman,73,,
86,CRC,Bryan Ruiz,44,,
116,CRC,Bryan Ruiz,52,,
148,GER,Cacau,70,,
190,SPA,Carles Puyol,73,,
92,HON,Carlo Costly,31,,
180,ARG,Carlos Tevez,26,,
180,ARG,Carlos Tevez,52,,
33,MEX,Carlos Vela,26,,
74,CHI,Charles Aranguiz,43,,
15,DEN,Christian Eriksen,7,,
137,SOK,Chu Young Park,17,,AG
140,SOK,Chu Young Park,49,,
137,SOK,Chung-Yong Lee,45,1,
177,SOK,Chung-Yong Lee,68,,
84,ITA,Claudio Marchisio,35,,
102,USA,Clint Dempsey,1,,
104,USA,Clint Dempsey,81,,
141,USA,Clint Dempsey,40,,
161,PAR,Cristian Riveros,86,,
8,POR,Cristiano Ronaldo,4,,
8,POR,Cristiano Ronaldo,44,,
8,POR,Cristiano Ronaldo,88,,
9,POR,Cristiano Ronaldo,4,,
105,POR,Cristiano Ronaldo,80,,
168,POR,Cristiano Ronaldo,87,,
132,MEX,Cuahutemoc Blanco,79,,
127,NED,Daley Blind,17,,
153,DEN,Daniel Agger,46,,AG
84,ENG,Daniel Sturridge,37,,
159,ITA,Daniele De Rossi,63,,
113,BRA,David Luiz,18,,
122,BRA,David Luiz,69,,
75,SPA,David Villa,36,,
174,SPA,David Villa,17,,
174,SPA,David Villa,51,,
175,SPA,David Villa,24,,
184,SPA,David Villa,63,,
188,SPA,David Villa,83,,
59,ENG,Dele Alli,59,,
1,RUS,Denis Cheryshev,43,,
1,RUS,Denis Cheryshev,90,1,
3,RUS,Denis Cheryshev,59,,
6,RUS,Denis Cheryshev,23,,AG
60,RUS,Denis Cheryshev,31,,
156,DEN,Dennis Rommedahl,61,,
167,IVC,Didier Drogba,79,,
8,SPA,Diego Costa,24,,
8,SPA,Diego Costa,55,,
10,SPA,Diego Costa,54,,
131,URU,Diego Forlan,24,,
131,URU,Diego Forlan,80,,
189,URU,Diego Forlan,41,,
191,URU,Diego Forlan,51,,
88,URU,Diego Godin,81,,
138,GRE,Dimitrios Salpingidis,44,,
153,NED,Dirk Kuyt,85,,
109,BEL,Divock Origi,88,,
60,CRO,Domagoj Vida,101,,
37,BEL,Dries Mertens,47,,
107,BEL,Dries mertens,80,,
39,TNZ,Dylan Bronn,18,,
39,BEL,Eden Hazard,6,,
39,BEL,Eden Hazard,51,,
63,BEL,Eden Hazard,82,,
99,BOS,Edin Dzeko,23,,
6,URU,Edinson Cavani,90,,
50,URU,Edinson Cavani,7,,
50,URU,Edinson Cavani,62,,
83,URU,Edinson Cavani,24,,
191,URU,Edinson Cavani,28,,
35,MEX,Edson Alvarez,74,,AG
74,CHI,Eduardo Vargas,20,,
166,BRA,Elano,72,,
167,BRA,Elano,62,,
55,SYE,Emil Forsberg,66,,
89,ECU,Enner Valencia,22,,
92,ECU,Enner Valencia,34,,
92,ECU,Enner Valencia,65,,
161,PAR,Enrique Vera,27,,
164,ITA,Fabio Quagliarella,90,2,
42,TNZ,Fakhreddine Ben Youssef,51,,
40,ENG,Felipe Baloy,78,,
38,TNZ,Ferjani Sassi 35,,,
58,BRA,Fernandinho,13,,AG
69,BRA,Fernandinho,84,,
75,SPA,Fernando Torres,69,,
133,FRA,Florent Malouda,70,,
69,BRA,Fred,49,,
136,ARG,Gabriel Heinze,6,,
49,ARG,Gabriel Mercado,48,,
172,SWZ,Gelson Fernandes,52,,
54,JAP,Genki Haraguchi,48,,
127,NED,Georginio Wijnaldum,90,1,
81,GRE,Georgios Samaras,90,3,
78,IVC,Gervinho,66,,
79,IVC,Gervinho,73,,
115,MEX,Giovani Dos Santos,48,,
189,NED,Giovanni Van Bronckhorst,18,,
123,ARG,Gonzalo Higuain,8,,
137,ARG,Gonzalo Higuain,33,,
137,ARG,Gonzalo Higuain,76,,
137,ARG,Gonzalo Higuain,80,,
180,ARG,Gonzalo Higuain,33,,
28,SWZ,Granit Xhaka,52,,
91,SWZ,Granit Xhaka,87,,
44,POL,Grzegorz Krychowiak,86,,
23,ISL,Gylfi Sigurdsson,76,,
89,SWZ,Haris Seferovic,90,3,
38,ENG,Harry Kane,11,,
38,ENG,Harry Kane,90,1,
40,ENG,Harry Kane,22,,
40,ENG,Harry Kane,45,1,
40,ENG,Harry Kane,62,,
56,ENG,Harry Kane,57,,
59,ENG,Harry Maguire,30,,
33,SOK,Heung-Min Son,90,3,
36,SOK,Heung-Min Son,90,6,
110,SOK,Heung-Min Son,50,,
31,MEX,Hirving Lozano,35,,
168,POR,Hugo Almeida,56,,
12,SPA,Iago Aspas,90,1,
12,SPA,Isco,19,,
110,ALG,Islam Slimani,26,,
111,ALG,Islam Slimani,60,,
23,CRO,Ivan Perisic,90,,
62,CRO,Ivan Perisic,68,,
64,CRO,Ivan Perisic,28,,
68,CRO,Ivan Perisic,48,,
70,CRO,Ivan Perisic,87,,
21,CRO,Ivan Rakitic,90,1,
68,CRO,Ivica Olic,11,,
110,SOK,Ja-Cheol Koo,72,,
82,COL,Jackson Martinez,55,,
82,COL,Jackson Martinez,82,,
77,COL,James Rodrigez,90,3,
79,COL,James Rodrigez,64,,
82,COL,James Rodrigez,90,,
114,COL,James Rodrigez,50,,
114,COL,James Rodrigez,28,,
122,COL,James Rodrigez,80,,
47,POL,Jan Bednarek,59,,
54,BEL,Jan Vertonghen,69,,
112,BEL,Jan Vertonghen,78,,
33,MEX,Javier Hernandez,66,,
70,MEX,Javier Hernandez,82,,
132,MEX,Javier Hernandez,64,,
180,MEX,Javier Hernandez,71,,
72,CHI,Jean Beausejour,90,2,
171,CHI,Jean Beausejour,34,,
145,ENG,Jermain Defoe,23,,
104,USA,Jermaine Jones,64,,
40,ENG,Jesse Lingard,36,,
135,SOK,Ji Sung Park,52,,
83,CRC,Joel Campbell,54,,
69,CAM,Joel Matip,26,,
102,USA,John Anthony Brooks,86,,
105,GHA,John Boye,31,,ag
40,ENG,John Stones,8,,
40,ENG,John Stones,40,,
158,DEN,Jon Dahl Tomasson,81,,
72,CHI,Jorge Valdivia,14,,
2,URU,Jose Maria Gimenez,89,,
118,NGR,Joseph Yobo,90,2,AG
30,SWZ,Josip Drmic,88,,
182,BRA,Juan,35,,
46,COL,Juan Guillermo Cuadrado,75,,
82,COL,Juan Guillermo Cuadrado,17,,
75,SPA,Juan Mata,82,,
43,COL,Juan Quintero,39,,
79,COL,Juan Quintero,70,,
120,USA,Julian Green,107,,
135,SOK,Jung Soo Lee,7,,
